User_ID,Age,Gender,Daily_Screen_Time(hrs),Sleep_Quality(1-10),Stress_Level(1-10),Days_Without_Social_Media,Exercise_Frequency(week),Social_Media_Platform,Happiness_Index(1-10),Cluster_KMeans,Cluster_DBSCAN
U001,44,Male,3.1,7.0,6.0,2.0,5.0,Facebook,10.0,1,-1
U002,30,Other,5.1,7.0,8.0,5.0,3.0,LinkedIn,10.0,1,-1
U003,23,Other,7.4,6.0,7.0,1.0,3.0,YouTube,6.0,0,-1
U004,36,Female,5.7,7.0,8.0,1.0,1.0,TikTok,8.0,0,-1
U005,34,Female,7.0,4.0,7.0,5.0,1.0,X (Twitter),8.0,0,-1
U006,38,Male,6.6,5.0,7.0,4.0,3.0,LinkedIn,8.0,0,-1
U007,26,Female,7.8,4.0,8.0,2.0,0.0,TikTok,7.0,0,-1
U008,26,Female,7.4,5.0,6.0,1.0,4.0,Instagram,7.0,0,-1
U009,39,Male,4.7,7.0,7.0,6.0,1.0,YouTube,9.0,1,-1
U010,39,Female,6.6,6.0,8.0,0.0,2.0,Facebook,7.0,0,-1
U011,18,Female,2.8,7.0,6.0,2.0,0.0,Instagram,7.0,1,-1
U012,37,Other,5.4,5.0,7.0,3.0,2.0,Instagram,9.0,0,-1
U013,17,Female,7.0,7.0,10.0,7.0,1.0,YouTube,8.0,0,-1
U014,39,Female,5.7,5.0,7.0,4.0,0.0,Facebook,8.0,0,-1
U015,45,Male,6.3,7.0,7.0,4.0,3.0,X (Twitter),9.0,1,-1
U016,17,Female,5.1,7.0,6.0,2.0,5.0,LinkedIn,10.0,1,-1
U017,36,Female,7.5,5.0,8.0,4.0,4.0,Facebook,7.0,0,-1
U018,48,Male,5.4,6.0,4.0,3.0,4.0,TikTok,10.0,1,-1
U019,27,Male,4.7,6.0,6.0,0.0,2.0,Instagram,9.0,1,-1
U020,37,Male,7.1,6.0,6.0,5.0,4.0,TikTok,10.0,1,-1
U021,40,Female,3.0,8.0,5.0,5.0,4.0,X (Twitter),10.0,1,-1
U022,42,Other,6.4,7.0,6.0,5.0,3.0,TikTok,10.0,1,-1
U023,43,Male,3.6,8.0,5.0,3.0,1.0,Facebook,9.0,1,-1
U024,31,Female,7.8,5.0,8.0,1.0,2.0,TikTok,7.0,0,-1
U025,30,Male,5.0,6.0,6.0,0.0,5.0,X (Twitter),8.0,1,-1
U026,18,Other,5.7,6.0,7.0,3.0,2.0,X (Twitter),8.0,0,-1
U027,22,Female,6.2,5.0,8.0,5.0,0.0,X (Twitter),6.0,0,-1
U028,36,Female,2.0,8.0,4.0,5.0,0.0,Facebook,10.0,1,-1
U029,24,Male,4.3,6.0,6.0,5.0,2.0,X (Twitter),10.0,1,-1
U030,33,Male,7.4,6.0,10.0,3.0,4.0,Instagram,8.0,0,-1
